NumeroOrden,NumeroLineaOrden,FechaPedido,NombreCliente,CorreoElectronico,Articulo,Cantidad,PrecioUnitario,MontoImpuesto
SO43701,1,2019-07-01,Cristina Zarate,christy12@adventure-works.com,"Montana-100 Plata, 44",1,3399,271
SO43704,1,2019-07-01,Julio Ruiz,julio1@adventure-works.com,"Montana-100 Negro, 48",1,3374,269
SO43705,1,2019-07-01,Carlos Luna,curtis9@adventure-works.com,"Montana-100 Plata, 38",1,3399,271
SO43700,1,2019-07-01,Ruben Perez,ruben10@adventure-works.com,"Carretera-650 Negro, 62",1,699,55
SO43703,1,2019-07-01,Alberto Alvarez,albert7@adventure-works.com,"Carretera-150 Rojo, 62",1,3578,286
SO43697,1,2019-07-01,Cole Watson,cole1@adventure-works.com,"Carretera-150 Rojo, 62",1,3578,286
SO43699,1,2019-07-01,Sydney Wright,sydney61@adventure-works.com,"Montana-100 Plata, 44",1,3399,271
SO43702,1,2019-07-01,Colin Anand,colin45@adventure-works.com,"Road-150 Red, 44",1,3578,286
SO43698,1,2019-07-01,Rachael Martinez,rachael16@adventure-works.com,"Montana-100 Plata, 44",1,3399,271
SO43707,1,2019-07-02,Emma Brown,emma3@adventure-works.com,"Road-150 Red, 48",1,3578,286
SO43711,1,2019-07-02,Courtney Edwards,courtney1@adventure-works.com,"Road-150 Red, 56",1,3578,286
SO43706,1,2019-07-02,Edward Brown,edward26@adventure-works.com,"Road-150 Red, 48",1,3578,286
SO43708,1,2019-07-02,Brad Deng,brad2@adventure-works.com,"Road-650 Red, 52",1,699,55
SO43709,1,2019-07-02,Martha Xu,martha12@adventure-works.com,"Road-150 Red, 52",1,3578,286
SO43710,1,2019-07-02,Katrina Raji,katrina20@adventure-works.com,"Road-150 Red, 56",1,3578,286
SO43712,1,2019-07-02,Abigail Henderson,abigail73@adventure-works.com,"Road-150 Red, 44",1,3578,286
SO43720,1,2019-07-03,Melanie Sanchez,melanie47@adventure-works.com,"Road-150 Red, 44",1,3578,286
SO43721,1,2019-07-03,Louis Xie,louis20@adventure-works.com,"Carretera-150 Rojo, 62",1,3578,286
SO43714,1,2019-07-03,Latasha Alonso,latasha8@adventure-works.com,"Road-150 Red, 44",1,3578,286
SO43715,1,2019-07-03,Warren Jai,warren42@adventure-works.com,"Road-150 Red, 56",1,3578,286
SO43716,1,2019-07-03,Jonathon Gutierrez,jonathon8@adventure-works.com,"Road-150 Red, 44",1,3578,286
SO43719,1,2019-07-03,Lucas Hill,lucas45@adventure-works.com,"Road-150 Red, 48",1,3578,286
SO43713,1,2019-07-03,Sydney Rogers,sydney3@adventure-works.com,"Carretera-150 Rojo, 62",1,3578,286
SO43717,1,2019-07-03,Alexandra Watson,alexandra20@adventure-works.com,"Carretera-650 Negro, 62",1,699,55
SO43718,1,2019-07-03,Kevin Gonzalez,kevin46@adventure-works.com,"Road-150 Red, 44",1,3578,286
SO43727,1,2019-07-04,Logan Gonzales,logan18@adventure-works.com,"Road-150 Red, 44",1,3578,286
SO43724,1,2019-07-04,Misty Raji,misty23@adventure-works.com,"Road-150 Red, 44",1,3578,286
SO43722,1,2019-07-04,Albert Blanco,albert15@adventure-works.com,"Road-150 Red, 48",1,3578,286
SO43725,1,2019-07-04,Anne Dominguez,anne14@adventure-works.com,"Road-150 Red, 44",1,3578,286
SO43723,1,2019-07-04,Bonnie Xu,bonnie10@adventure-works.com,"Road-650 Black, 58",1,699,55
SO43726,1,2019-07-04,Kelvin Huang,kelvin25@adventure-works.com,"Road-650 Black, 58",1,699,55
SO43736,1,2019-07-05,Ruben Torres,ruben35@adventure-works.com,"Montana-100 Plata, 44",1,3399,271
SO43732,1,2019-07-05,Alejandro Beck,alejandro45@adventure-works.com,"Mountain-100 Black, 44",1,3374,269
SO43729,1,2019-07-05,Mayra Prasad,mayra9@adventure-works.com,"Montana-100 Plata, 44",1,3399,271
SO43731,1,2019-07-05,Rosa Zheng,rosa19@adventure-works.com,"Road-150 Red, 56",1,3578,286
SO43735,1,2019-07-05,Casey Pal,casey13@adventure-works.com,"Carretera-150 Rojo, 62",1,3578,286
SO43728,1,2019-07-05,Alyssa Garcia,alyssa16@adventure-works.com,"Road-150 Red, 52",1,3578,286
SO43734,1,2019-07-05,Richard Brooks,richard81@adventure-works.com,"Road-150 Red, 48",1,3578,286
SO43733,1,2019-07-05,Patrick Cook,patrick26@adventure-works.com,"Road-150 Red, 48",1,3578,286
SO43730,1,2019-07-05,Garrett Cooper,garrett13@adventure-works.com,"Montana-100 Plata, 44",1,3399,271
SO43741,1,2019-07-06,Jeremiah Martinez,jeremiah8@adventure-works.com,"Carretera-150 Rojo, 62",1,3578,286
SO43740,1,2019-07-06,Cory Arun,cory5@adventure-works.com,"Road-150 Red, 48",1,3578,286
SO43744,1,2019-07-06,Haley Ward,haley13@adventure-works.com,"Road-150 Red, 52",1,3578,286
SO43743,1,2019-07-06,Marco Mehta,marco14@adventure-works.com,"Mountain-100 Silver, 48",1,3399,271
SO43738,1,2019-07-06,Melody Ramos,melody17@adventure-works.com,"Road-150 Red, 48",1,3578,286
SO43737,1,2019-07-06,Lindsey Andersen,lindsey14@adventure-works.com,"Road-150 Red, 44",1,3578,286
SO43742,1,2019-07-06,Tamara Lal,tamara20@adventure-works.com,"Road-150 Red, 56",1,3578,286
SO43739,1,2019-07-06,Phillip Sai,phillip6@adventure-works.com,"Carretera-150 Rojo, 62",1,3578,286
SO43752,1,2019-07-07,Luke Adams,luke46@adventure-works.com,"Road-150 Red, 44",1,3578,286
SO43750,1,2019-07-07,Stacey Lu,stacey12@adventure-works.com,"Road-150 Red, 44",1,3578,286
SO43751,1,2019-07-07,Darrell Raji,darrell9@adventure-works.com,"Road-150 Red, 52",1,3578,286
SO43746,1,2019-07-07,Kelvin Liang,kelvin35@adventure-works.com,"Road-150 Red, 48",1,3578,286
SO43753,1,2019-07-07,Tabitha Arthur,tabitha5@adventure-works.com,"Carretera-150 Rojo, 62",1,3578,286
SO43745,1,2019-07-07,Manuel Fernandez,manuel14@adventure-works.com,"Road-150 Red, 44",1,3578,286
SO43747,1,2019-07-07,Christian Jackson,christian47@adventure-works.com,"Road-150 Red, 56",1,3578,286
SO43748,1,2019-07-07,Alexandria Hughes,alexandria11@adventure-works.com,"Road-150 Red, 52",1,3578,286
SO43749,1,2019-07-07,Paige Murphy,paige39@adventure-works.com,"Road-150 Red, 56",1,3578,286
SO43756,1,2019-07-08,Cedric Liang,cedric16@adventure-works.com,"Road-650 Black, 58",1,699,55
SO43755,1,2019-07-08,Kayla Long,kayla33@adventure-works.com,"Road-150 Red, 44",1,3578,286
SO43754,1,2019-07-08,Morgan Phillips,morgan4@adventure-works.com,"Road-150 Red, 48",1,3578,286
SO43758,1,2019-07-08,Jackson Li,jackson28@adventure-works.com,"Carretera-150 Rojo, 62",1,3578,286
SO43761,1,2019-07-08,Brenda Fernandez,brenda19@adventure-works.com,"Carretera-150 Rojo, 62",1,3578,286
SO43760,1,2019-07-08,Tiffany Gao,tiffany15@adventure-works.com,"Road-150 Red, 56",1,3578,286
SO43757,1,2019-07-08,Shannon Wang,shannon1@adventure-works.com,"Mountain-100 Black, 44",1,3374,269
SO43759,1,2019-07-08,Jon Chander,jon12@adventure-works.com,"Carretera-150 Rojo, 62",1,3578,286
SO43765,1,2019-07-09,Jacquelyn Suarez,jacquelyn20@adventure-works.com,"Montana-100 Plata, 44",1,3399,271
SO43767,1,2019-07-09,Eugene Huang,eugene10@adventure-works.com,"Mountain-100 Black, 44",1,3374,269
SO43766,1,2019-07-09,Krystal Holt,krystal6@adventure-works.com,"Road-150 Red, 52",1,3578,286
SO43763,1,2019-07-09,Martha Liang,martha16@adventure-works.com,"Road-150 Red, 52",1,3578,286
SO43764,1,2019-07-09,Ebony Ashe,ebony31@adventure-works.com,"Carretera-150 Rojo, 62",1,3578,286
SO43762,1,2019-07-09,Courtney Carter,courtney8@adventure-works.com,"Road-150 Red, 56",1,3578,286
SO43770,1,2019-07-10,Warren Ye,warren25@adventure-works.com,"Road-150 Red, 48",1,3578,286
SO43779,1,2019-07-10,Warren Zhang,warren17@adventure-works.com,"Road-650 Red, 44",1,699,55
SO43769,1,2019-07-10,Gabrielle Jenkins,gabrielle29@adventure-works.com,"Road-150 Red, 48",1,3578,286
SO43768,1,2019-07-10,Evan Bailey,evan17@adventure-works.com,"Road-150 Red, 48",1,3578,286
SO43773,1,2019-07-10,Arthur Perez,arthur22@adventure-works.com,"Road-150 Red, 56",1,3578,286
SO43772,1,2019-07-10,Damien Huang,damien4@adventure-works.com,"Road-150 Red, 48",1,3578,286
SO43777,1,2019-07-10,Troy Sai,troy6@adventure-works.com,"Road-150 Red, 44",1,3578,286
SO43774,1,2019-07-10,Roy Raman,roy12@adventure-works.com,"Road-150 Red, 52",1,3578,286
SO43778,1,2019-07-10,Clarence Rai,clarence32@adventure-works.com,"Mountain-100 Silver, 42",1,3399,271
SO43775,1,2019-07-10,Jessie Zhao,jessie16@adventure-works.com,"Mountain-100 Silver, 48",1,3399,271
SO43776,1,2019-07-10,James Flores,james28@adventure-works.com,"Road-150 Red, 56",1,3578,286
SO43771,1,2019-07-10,Ashley Washington,ashley40@adventure-works.com,"Road-650 Red, 52",1,699,55
SO43780,1,2019-07-11,Melody Diaz,melody3@adventure-works.com,"Road-150 Red, 44",1,3578,286
SO43782,1,2019-07-11,Melvin She,melvin0@adventure-works.com,"Road-150 Red, 48",1,3578,286
SO43781,1,2019-07-11,Monique Ramos,monique14@adventure-works.com,"Road-150 Red, 48",1,3578,286
SO43783,1,2019-07-11,Cameron Thompson,cameron33@adventure-works.com,"Road-150 Red, 48",1,3578,286
SO43792,1,2019-07-12,Andres Lal,andres5@adventure-works.com,"Road-150 Red, 48",1,3578,286
SO43791,1,2019-07-12,Dustin Lal,dustin8@adventure-works.com,"Road-150 Red, 56",1,3578,286
SO43785,1,2019-07-12,Ivan Raman,ivan8@adventure-works.com,"Road-150 Red, 44",1,3578,286
SO43786,1,2019-07-12,Clinton Moreno,clinton3@adventure-works.com,"Road-150 Red, 44",1,3578,286
SO43793,1,2019-07-12,Jon Yang,jon24@adventure-works.com,"Montana-100 Plata, 38",1,3399,271
SO43794,1,2019-07-12,Jimmy Moreno,jimmy9@adventure-works.com,"Mountain-100 Silver, 48",1,3399,271
SO43788,1,2019-07-12,Latoya Goel,latoya18@adventure-works.com,"Montana-100 Negro, 48",1,3374,269
SO43784,1,2019-07-12,Jessica Sanchez,jessica1@adventure-works.com,"Carretera-150 Rojo, 62",1,3578,286
SO43790,1,2019-07-12,Abigail Perry,abigail75@adventure-works.com,"Montana-100 Plata, 38",1,3399,271
SO43789,1,2019-07-12,Tristan Butler,tristan15@adventure-works.com,"Montana-100 Negro, 48",1,3374,269
SO43787,1,2019-07-12,Don Lal,don8@adventure-works.com,"Montana-100 Plata, 38",1,3399,271
SO43795,1,2019-07-13,Maria Henderson,maria28@adventure-works.com,"Road-150 Red, 48",1,3578,286
SO43800,1,2019-07-13,Brittany Gonzales,brittany15@adventure-works.com,"Road-150 Red, 44",1,3578,286
